Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
MHA_head_4_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_concat_final_op,   256, 128,    1, 128,    1,      128,     1,
FFN1_input,            256, 128,    1, 128,    1,      512,     1,
FFN1_inter,            256, 512,    1, 512,    1,      128,     1,
FFN2_input,            256, 128,    1, 128,    1,      512,     1,
FFN2_inter,            256, 512,    1, 512,    1,      128,     1,
FFN3_input,            256, 128,    1, 128,    1,      512,     1,
FFN3_inter,            256, 512,    1, 512,    1,      128,     1,
FFN4_input,            256, 128,    1, 128,    1,      512,     1,
FFN4_inter,            256, 512,    1, 512,    1,      128,     1,
Linear2,               256, 128,    1, 128,    1,      512,     1,


Linear1,               256, 512,    1, 512,    1,      128,     1,
MHA_head_1_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_concat_final_op,   256, 128,    1, 128,    1,      128,     1,
FFN1_input,            256, 128,    1, 128,    1,      512,     1,
FFN1_inter,            256, 512,    1, 512,    1,      128,     1,
FFN2_input,            256, 128,    1, 128,    1,      512,     1,
FFN2_inter,            256, 512,    1, 512,    1,      128,     1,
FFN3_input,            256, 128,    1, 128,    1,      512,     1,
FFN3_inter,            256, 512,    1, 512,    1,      128,     1,
FFN4_input,            256, 128,    1, 128,    1,      512,     1,
FFN4_inter,            256, 512,    1, 512,    1,      128,     1,
Linear2,               256, 128,    1, 128,    1,      512,     1,


Linear1,               256, 512,    1, 512,    1,      128,     1,
MHA_head_1_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_concat_final_op,   256, 128,    1, 128,    1,      128,     1,
FFN1_input,            256, 128,    1, 128,    1,      512,     1,
FFN1_inter,            256, 512,    1, 512,    1,      128,     1,
FFN2_input,            256, 128,    1, 128,    1,      512,     1,
FFN2_inter,            256, 512,    1, 512,    1,      128,     1,
FFN3_input,            256, 128,    1, 128,    1,      512,     1,
FFN3_inter,            256, 512,    1, 512,    1,      128,     1,
FFN4_input,            256, 128,    1, 128,    1,      512,     1,
FFN4_inter,            256, 512,    1, 512,    1,      128,     1,
Linear2,               256, 128,    1, 128,    1,      512,     1,


Linear1,               256, 512,    1, 512,    1,      128,     1,
MHA_head_1_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_concat_final_op,   256, 128,    1, 128,    1,      128,     1,
FFN1_input,            256, 128,    1, 128,    1,      512,     1,
FFN1_inter,            256, 512,    1, 512,    1,      128,     1,
FFN2_input,            256, 128,    1, 128,    1,      512,     1,
FFN2_inter,            256, 512,    1, 512,    1,      128,     1,
FFN3_input,            256, 128,    1, 128,    1,      512,     1,
FFN3_inter,            256, 512,    1, 512,    1,      128,     1,
FFN4_input,            256, 128,    1, 128,    1,      512,     1,
FFN4_inter,            256, 512,    1, 512,    1,      128,     1,
Linear2,               256, 128,    1, 128,    1,      512,     1,


Linear1,               256, 512,    1, 512,    1,      128,     1,
MHA_head_1_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_concat_final_op,   256, 128,    1, 128,    1,      128,     1,
FFN1_input,            256, 128,    1, 128,    1,      512,     1,
FFN1_inter,            256, 512,    1, 512,    1,      128,     1,
FFN2_input,            256, 128,    1, 128,    1,      512,     1,
FFN2_inter,            256, 512,    1, 512,    1,      128,     1,
FFN3_input,            256, 128,    1, 128,    1,      512,     1,
FFN3_inter,            256, 512,    1, 512,    1,      128,     1,
FFN4_input,            256, 128,    1, 128,    1,      512,     1,
FFN4_inter,            256, 512,    1, 512,    1,      128,     1,
Linear2,               256, 128,    1, 128,    1,      512,     1,


Linear1,               256, 512,    1, 512,    1,      128,     1,
MHA_head_1_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_concat_final_op,   256, 128,    1, 128,    1,      128,     1,
FFN1_input,            256, 128,    1, 128,    1,      512,     1,
FFN1_inter,            256, 512,    1, 512,    1,      128,     1,
FFN2_input,            256, 128,    1, 128,    1,      512,     1,
FFN2_inter,            256, 512,    1, 512,    1,      128,     1,
FFN3_input,            256, 128,    1, 128,    1,      512,     1,
FFN3_inter,            256, 512,    1, 512,    1,      128,     1,
FFN4_input,            256, 128,    1, 128,    1,      512,     1,
FFN4_inter,            256, 512,    1, 512,    1,      128,     1,
Linear2,               256, 128,    1, 128,    1,      512,     1,


Linear1,               256, 512,    1, 512,    1,      128,     1,
MHA_head_1_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_concat_final_op,   256, 128,    1, 128,    1,      128,     1,
FFN1_input,            256, 128,    1, 128,    1,      512,     1,
FFN1_inter,            256, 512,    1, 512,    1,      128,     1,
FFN2_input,            256, 128,    1, 128,    1,      512,     1,
FFN2_inter,            256, 512,    1, 512,    1,      128,     1,
FFN3_input,            256, 128,    1, 128,    1,      512,     1,
FFN3_inter,            256, 512,    1, 512,    1,      128,     1,
FFN4_input,            256, 128,    1, 128,    1,      512,     1,
FFN4_inter,            256, 512,    1, 512,    1,      128,     1,
Linear2,               256, 128,    1, 128,    1,      512,     1,


Linear1,               256, 512,    1, 512,    1,      128,     1,
MHA_head_1_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_concat_final_op,   256, 128,    1, 128,    1,      128,     1,
FFN1_input,            256, 128,    1, 128,    1,      512,     1,
FFN1_inter,            256, 512,    1, 512,    1,      128,     1,
FFN2_input,            256, 128,    1, 128,    1,      512,     1,
FFN2_inter,            256, 512,    1, 512,    1,      128,     1,
FFN3_input,            256, 128,    1, 128,    1,      512,     1,
FFN3_inter,            256, 512,    1, 512,    1,      128,     1,
FFN4_input,            256, 128,    1, 128,    1,      512,     1,
FFN4_inter,            256, 512,    1, 512,    1,      128,     1,
Linear2,               256, 128,    1, 128,    1,      512,     1,


Linear1,               256, 512,    1, 512,    1,      128,     1,
MHA_head_1_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_4_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_4_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_concat_final_op,   256, 128,    1, 128,    1,      128,     1,
FFN1_input,            256, 128,    1, 128,    1,      512,     1,
FFN1_inter,            256, 512,    1, 512,    1,      128,     1,
FFN2_input,            256, 128,    1, 128,    1,      512,     1,
FFN2_inter,            256, 512,    1, 512,    1,      128,     1,
FFN3_input,            256, 128,    1, 128,    1,      512,     1,
FFN3_inter,            256, 512,    1, 512,    1,      128,     1,
FFN4_input,            256, 128,    1, 128,    1,      512,     1,
FFN4_inter,            256, 512,    1, 512,    1,      128,     1,
Linear2,               256, 128,    1, 128,    1,      512,     1,


Linear1,               256, 512,    1, 512,    1,      128,     1,
MHA_head_1_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_1_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_1_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_2_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_2_self_att2,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_query,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_key,    256, 128,    1, 128,    1,      128,     1,
MHA_head_3_cal_value,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att1,  256, 128,    1, 128,    1,      128,     1,
MHA_head_3_self_att2,  256, 128,    1, 128,    1,      128,     1,
